global_index,verb,row_in_verb,Number of hit,Text ID,Concordance line,Tagged concordance line,URL,Match-begin corpus position,Match-end corpus position,pos_tag,layer
762,give_away,62,4,CRA,"the thought of securitising its mortgage assets &mdash; &lsquo; why give away margin ? &rsquo; asks Jon Foulds , its chairman since 1990","the_AT0 thought_NN1 of_PRF securitising_VVG its_DPS mortgage_NN1 assets_NN2 &mdash;_PUN &lsquo;_PUQ why_AVQ give_VVI away_AV0 margin_NN1 ?_PUN &rsquo;_PUQ asks_VVZ Jon_NP0 Foulds_NP0 ,_PUN its_DPS chairman_NN1 since_PRP 1990_CRD",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sn&batch=3,40672395,40672397,give_away_NN1,3
765,give_away,65,2,CDH,gift box we have over 500 fabulous free gifts to give away this month ! 100 free If you 're having problems with,gift_NN1 box_NN1 we_PNP have_VHB over_AV0 500_CRD fabulous_AJ0 free_AJ0 gifts_NN2 to_TO0 give_VVI away_AV0 this_DT0 month_NN1 !_PUN 100_CRD free_AJ0 If_CJS you_PNP 're_VBB having_VHG problems_NN2 with_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sq&batch=1,30180794,30180796,give_away_DT0,3
813,give_in,13,14,KRH,"as they are written , people as photography and psychology give in an unalterable idea of them . &rsquo; &lsquo; As a matter","as_CJS they_PNP are_VBB written_VVN-AJ0 ,_PUN people_NN0 as_PRP-CJS photography_NN1 and_CJC psychology_NN1 give_VVB in_AVP-PRP an_AT0 unalterable_AJ0 idea_NN1 of_PRF them_PNP ._PUN &rsquo;_PUQ &lsquo;_PUQ As_PRP a_AT0 matter_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha91&batch=13,111164634,111164636,give_in_AT0,3
875,give_in,75,1,CLS,usual fashion shows which many of the de luxe houses give in conjunction with the department stores in their cities &rsquo; ; in,usual_AJ0 fashion_NN1 shows_NN2 which_DTQ many_DT0 of_PRF the_AT0 de_UNC luxe_UNC houses_NN2 give_VVB in_PRP conjunction_NN1 with_PRP the_AT0 department_NN1 stores_NN2-VVZ in_PRP their_DPS cities_NN2 &rsquo;_PUQ ;_PUN in_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha98&batch=0,38130372,38130374,give_in_NN1,3
876,give_in,76,2,EWW,", are all that are required . Example 1 We give in Table 1 a scheme for pivotal condensation of the matrix just",",_PUN are_VBB all_DT0 that_CJT are_VBB required_VVN ._PUN Example_NN1 1_CRD We_PNP give_VVB in_AVP Table_NN1 1_CRD a_AT0 scheme_NN1 for_PRP pivotal_AJ0 condensation_NN1 of_PRF the_AT0 matrix_NN1 just_AV0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha98&batch=1,50203581,50203583,give_in_NN1,3
884,give_in,84,10,HHX,give more money to the Common Market budget than we give in aid to the third world . What sense is there in,give_VVB more_DT0 money_NN1 to_PRP the_AT0 Common_AJ0 Market_NN1 budget_NN1 than_CJS we_PNP give_VVB in_AVP aid_NN1 to_PRP the_AT0 third_ORD world_NN1 ._PUN What_DTQ sense_NN1 is_VBZ there_AV0 in_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha98&batch=9,79209562,79209564,give_in_NN1,3
889,give_in,89,1,J2C,archaeology and art of Rome and its empire ; to give in each academic year at least 36 lectures and classes ; to,archaeology_NN1 and_CJC art_NN1 of_PRF Rome_NP0 and_CJC its_DPS empire_NN1 ;_PUN to_TO0 give_VVI in_AVP each_DT0 academic_AJ0 year_NN1 at_PRP least_AV0 36_CRD lectures_NN2 and_CJC classes_NN2 ;_PUN to_TO0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha94&batch=0,93076766,93076768,give_in_DT0,3
900,give_out,1,2,AP8,Kendal of &lsquo; hosiers attending Markets to collect stockings and give out worsted . &rsquo; Kirkby Stephen had a stocking market of renown,Kendal_NP0 of_PRF &lsquo;_PUQ hosiers_NN2 attending_VVG Markets_NN2 to_TO0 collect_VVI stockings_NN2 and_CJC give_VVB out_AVP worsted_NN1 ._PUN &rsquo;_PUQ Kirkby_NP0 Stephen_NP0 had_VHD a_AT0 stocking_NN1 market_NN1 of_PRF renown_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9v1&batch=1,12842533,12842535,give_out_NN1,3
916,give_out,17,4,B3D,the available databases . Both systems operators and database producers give out newsletters in which changes and &lsquo; new &rsquo; techniques are introduced,the_AT0 available_AJ0 databases_NN2 ._PUN Both_DT0 systems_NN2 operators_NN2 and_CJC database_NN1 producers_NN2 give_VVB out_AVP newsletters_NN2 in_PRP which_DTQ changes_NN2-VVZ and_CJC &lsquo;_PUQ new_AJ0 &rsquo;_PUQ techniques_NN2 are_VBB introduced_VVN,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9uy&batch=3,19102809,19102811,give_out_NN2,3
956,give_out,57,8,J8G,"perhaps which er would n't give up , would n't give out enough light Mm erm otherwise you 'll Do you take sugar","perhaps_AV0 which_DTQ er_UNC would_VM0 n't_XX0 give_VVI up_AVP ,_PUN would_VM0 n't_XX0 give_VVI out_AVP enough_DT0 light_NN1-AJ0 Mm_ITJ erm_UNC otherwise_AV0 you_PNP 'll_VM0 Do_VDB you_PNP take_VVI sugar_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vg&batch=7,95148229,95148231,give_out_DT0,3
974,give_out,75,15,KR2,Say something say something . Yeah just say something . Give out a shout to someone . Go on . Why are you,Say_VVB something_PNI say_VVB something_PNI ._PUN Yeah_ITJ just_AV0 say_VVB something_PNI ._PUN Give_VVB out_AVP a_AT0 shout_NN1 to_PRP someone_PNI ._PUN Go_VVB on_AVP ._PUN Why_AVQ are_VBB you_PNP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sw&batch=14,111008386,111008388,Give_out_AT0,3
988,give_out,89,29,CBL,grow prostrate on marshy terrain . The leaves when crushed give out a pungent or acid smell . Cultivation : Best results are,grow_VVB prostrate_AJ0 on_PRP marshy_AJ0 terrain_NN1 ._PUN The_AT0 leaves_NN2 when_CJS crushed_VVN give_VVB out_AVP a_AT0 pungent_AJ0 or_CJC acid_NN1 smell_NN1-VVB ._PUN Cultivation_NN1 :_PUN Best_AJS results_NN2 are_VBB,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9sw&batch=28,27996782,27996784,give_out_AT0,3
1008,give_up,16,17,CNF,stations to British Telecommunications Plc after Mercury Communications Ltd to give up the private site end of the business to concentrate on high,stations_NN2 to_PRP British_AJ0 Telecommunications_NN2 Plc_NN1 after_PRP-CJS Mercury_NP0 Communications_NN2 Ltd_AJ0 to_TO0 give_VVI up_AVP the_AT0 private_AJ0 site_NN1 end_NN1 of_PRF the_AT0 business_NN1 to_TO0 concentrate_VVI on_PRP-AVP high_AJ0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9su&batch=16,39865657,39865659,give_up_AT0,3
1053,give_up,61,42,HAE,based on hope . To give up hope is to give up life before it is taken away . Claire lives from day,based_VVN on_PRP hope_NN1 ._PUN To_TO0 give_VVI up_AVP hope_NN1 is_VBZ to_TO0 give_VVI up_AVP life_NN1 before_CJS it_PNP is_VBZ taken_VVN away_AV0 ._PUN Claire_NP0 lives_VVZ from_PRP day_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vn&batch=41,74633073,74633075,give_up_NN1,3
1068,give_up,76,57,CH1,"of that and less comedy . &lsquo; I will not give up comedy completely , but I will never go back to being","of_PRF that_DT0 and_CJC less_DT0 comedy_NN1 ._PUN &lsquo;_PUQ I_PNP will_VM0 not_XX0 give_VVI up_AVP comedy_NN1 completely_AV0 ,_PUN but_CJC I_PNP will_VM0 never_AV0 go_VVI back_AVP to_PRP being_VBG",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vn&batch=56,33909572,33909574,give_up_NN1,3
1088,give_up,96,77,HU0,"Aidez-moi ! Aidez-moi ! &rsquo; I prayed , promising to give up wine , warm tits and marble white buttocks . ( You","Aidez-moi_UNC !_PUN Aidez-moi_UNC !_PUN &rsquo;_PUQ I_PNP prayed_VVD ,_PUN promising_AJ0-VVG to_TO0 give_VVI up_AVP wine_NN1 ,_PUN warm_AJ0 tits_NN2 and_CJC marble_NN1 white_AJ0 buttocks_NN2 ._PUN (_PUL You_PNP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vn&batch=76,87618336,87618338,give_up_NN1,3
1090,give_up,98,79,CKW,generation . The alternative is for the wealthy individual to give up residence in Ireland and move his investments out of the country,generation_NN1 ._PUN The_AT0 alternative_NN1 is_VBZ for_PRP the_AT0 wealthy_AJ0 individual_NN1-AJ0 to_TO0 give_VVI up_AVP residence_NN1 in_PRP Ireland_NP0 and_CJC move_VVB his_DPS investments_NN2 out_AVP of_PRF the_AT0 country_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h9vn&batch=78,37289545,37289547,give_up_NN1,3
21,agree_on,21,22,J1A,Vol des Zephirs &rsquo; ( Act 5 scene 7 ) agree on a scoring of unison flutes and violins plus continuo ; the piece,Vol_UNC des_UNC Zephirs_UNC &rsquo;_PUQ (_PUL Act_NN1-VVB 5_CRD scene_NN1 7_CRD )_PUR agree_VVB on_PRP-AVP a_AT0 scoring_NN1 of_PRF unison_NN1 flutes_NN2 and_CJC violins_NN2 plus_PRP continuo_NN1 ;_PUN the_AT0 piece_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=21,92543607,92543610,agree_on_AT0,4
46,agree_on,46,47,HYA,down so that the legs all face out . They agree on a system of foraging and divide themselves into the groups they think,down_AVP so_AV0 that_CJT the_AT0 legs_NN2 all_DT0 face_VVB out_AVP ._PUN They_PNP agree_VVB on_PRP-AVP a_AT0 system_NN1 of_PRF foraging_VVG and_CJC divide_VVB themselves_PNX into_PRP the_AT0 groups_NN2 they_PNP think_VVB,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=46,91484112,91484115,agree_on_AT0,4
52,agree_on,52,53,ECV,"are the point of departure . But the contributors all agree on the importance of that experience . In these papers , all kinds","are_VBB the_AT0 point_NN1 of_PRF departure_NN1 ._PUN But_CJC the_AT0 contributors_NN2 all_DT0 agree_VVB on_PRP-AVP the_AT0 importance_NN1 of_PRF that_DT0 experience_NN1 ._PUN In_PRP these_DT0 papers_NN2 ,_PUN all_DT0 kinds_NN2",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=52,45532685,45532688,agree_on_AT0,4
57,agree_on,57,58,F9K,"behaviour ) and internal mental life . Second , they agree on the conclusion that the solipsist 's charade of concentrating on an experience","behaviour_NN1 )_PUR and_CJC internal_AJ0 mental_AJ0 life_NN1 ._PUN Second_ORD ,_PUN they_PNP agree_VVB on_PRP-AVP the_AT0 conclusion_NN1 that_CJT the_AT0 solipsist_VVB 's_VBZ charade_NN1 of_PRF concentrating_VVG on_PRP-AVP an_AT0 experience_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=57,51216494,51216497,agree_on_AT0,4
78,agree_on,78,79,A59,"not push to legislate while neither shops nor shoppers could agree on a solution , pressure groups could not agree , and Parliament could","not_XX0 push_VVI to_TO0 legislate_VVI while_CJS neither_AV0 shops_NN2 nor_CJC shoppers_NN2 could_VM0 agree_VVI on_PRP-AVP a_AT0 solution_NN1 ,_PUN pressure_NN1 groups_NN2 could_VM0 not_XX0 agree_VVI ,_PUN and_CJC Parliament_NN1 could_VM0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8f7&batch=78,2384168,2384171,agree_on_AT0,4
151,agree_that,51,52,B1D,internal arrangements &rsquo; . He added that he could not agree that the prizes were liberal . Wilson did not write back until,internal_AJ0 arrangements_NN2 &rsquo;_PUQ ._PUN He_PNP added_VVD that_CJT he_PNP could_VM0 not_XX0 agree_VVI that_CJT the_AT0 prizes_NN2 were_VBD liberal_AJ0 ._PUN Wilson_NP0 did_VDD not_XX0 write_VVI back_AVP until_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=51,17152813,17152815,agree_that_AT0,4
163,agree_that,63,64,GXJ,"all the evidence , the Committee may still decide to agree that the Council was right to refuse your child a place in","all_DT0 the_AT0 evidence_NN1 ,_PUN the_AT0 Committee_NN1 may_VM0 still_AV0 decide_VVI to_TO0 agree_VVI that_CJT the_AT0 Council_NN1 was_VBD right_AJ0 to_TO0 refuse_VVI your_DPS child_NN1 a_AT0 place_NN1 in_PRP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=63,69220903,69220905,agree_that_AT0,4
167,agree_that,67,68,J77,", among others . Unless the landlord is prepared to agree that the insurance should be in the joint names of the landlord",",_PUN among_PRP others_NN2 ._PUN Unless_CJS the_AT0 landlord_NN1 is_VBZ prepared_AJ0 to_TO0 agree_VVI that_CJT the_AT0 insurance_NN1 should_VM0 be_VBI in_PRP the_AT0 joint_AJ0 names_NN2 of_PRF the_AT0 landlord_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=67,94625173,94625175,agree_that_AT0,4
169,agree_that,69,70,ABC,"of a pipless , unripe melon . Many bio-acoustic experts agree that the echolocation clicks are created by implosive movements of air in","of_PRF a_AT0 pipless_AJ0 ,_PUN unripe_AJ0 melon_NN1 ._PUN Many_DT0 bio-acoustic_AJ0 experts_NN2 agree_VVB that_CJT the_AT0 echolocation_NN1 clicks_NN2 are_VBB created_VVN by_PRP implosive_AJ0 movements_NN2 of_PRF air_NN1 in_PRP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=69,5716016,5716018,agree_that_AT0,4
191,agree_that,91,92,HWD,a yardland or less fare in these circumstances ? Historians agree that the size of this group was certainly much reduced in number,a_AT0 yardland_NN1 or_CJC less_DT0 fare_NN1-VVB in_PRP these_DT0 circumstances_NN2 ?_PUN Historians_NN2 agree_VVB that_CJT the_AT0 size_NN1 of_PRF this_DT0 group_NN1 was_VBD certainly_AV0 much_AV0 reduced_VVN in_PRP number_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9t&batch=91,89012946,89012948,agree_that_AT0,4
218,agree_to,18,19,CJF,"have to agree on your story . Better still , agree to tell the truth . I take it that Barbara was your","have_VHB to_TO0 agree_VVI on_PRP-AVP your_DPS story_NN1 ._PUN Better_AV0 still_AV0 ,_PUN agree_VVB to_TO0 tell_VVI the_AT0 truth_NN1 ._PUN I_PNP take_VVB it_PNP that_CJT Barbara_NP0 was_VBD your_DPS",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=18,35847137,35847139,agree_to_VVI,4
242,agree_to,42,43,KRT,", if the Council agree , if members of Council agree to make the bye-law , then it would have to be referred",",_PUN if_CJS the_AT0 Council_NN1 agree_VVB ,_PUN if_CJS members_NN2 of_PRF Council_NN1 agree_VVB to_TO0 make_VVI the_AT0 bye-law_NN1 ,_PUN then_AV0 it_PNP would_VM0 have_VHI to_TO0 be_VBI referred_VVN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=42,111636108,111636110,agree_to_VVI,4
257,agree_to,57,58,H7U,is a criminal offence for a dealer to offer or agree to give an inducement or reward to another for abstaining or having,is_VBZ a_AT0 criminal_AJ0 offence_NN1 for_PRP a_AT0 dealer_NN1 to_TO0 offer_VVI or_CJC agree_VVI to_TO0 give_VVI an_AT0 inducement_NN1 or_CJC reward_NN1-VVB to_PRP another_DT0 for_PRP abstaining_VVG or_CJC having_VHG,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=57,71142161,71142163,agree_to_VVI,4
278,agree_to,78,79,HPY,"enough , either , if by "" syntax "" we agree to mean mere syntactic cohesion ; by itself , this leaves us","enough_AV0 ,_PUN either_AV0 ,_PUN if_CJS by_PRP ""_PUQ syntax_NN1 ""_PUQ we_PNP agree_VVB to_TO0 mean_VVI mere_AJ0 syntactic_AJ0 cohesion_NN1 ;_PUN by_PRP itself_PNX ,_PUN this_DT0 leaves_VVZ us_PNP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=78,85117629,85117631,agree_to_VVI,4
298,agree_to,98,99,FRN,game . The intuitive argument is straightforward . If firms agree to set outputs or prices which give them higher profits than those,game_NN1 ._PUN The_AT0 intuitive_AJ0 argument_NN1 is_VBZ straightforward_AJ0 ._PUN If_CJS firms_NN2 agree_VVB to_TO0 set_VVI outputs_NN2 or_CJC prices_NN2 which_DTQ give_VVB them_PNP higher_AV0 profits_NN2 than_CJS those_DT0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha7r&batch=98,57756785,57756787,agree_to_VVI,4
300,agree_with,0,1,K5L,"The majority , 77 per cent , agree or strongly agree with the statement that : &lsquo; A single parent can bring up","The_AT0 majority_NN1 ,_PUN 77_CRD per_UNC cent_UNC ,_PUN agree_VVB or_CJC strongly_AV0 agree_VVB with_PRP the_AT0 statement_NN1 that_CJT :_PUN &lsquo;_PUQ A_AT0 single_AJ0 parent_NN1 can_VM0 bring_VVI up_AVP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=0,103087333,103087335,agree_with_AT0,4
338,agree_with,38,39,HAU,"to match overall service provision to evolving needs ; to agree with the other Divisions the core service specification , procurement and management","to_TO0 match_VVI overall_AJ0 service_NN1 provision_NN1 to_PRP evolving_VVG-AJ0 needs_NN2 ;_PUN to_TO0 agree_VVI with_PRP the_AT0 other_AJ0 Divisions_NN2 the_AT0 core_NN1 service_NN1 specification_NN1 ,_PUN procurement_NN1 and_CJC management_NN1",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=38,74753925,74753927,agree_with_AT0,4
357,agree_with,57,58,FLB,"mean there are No I quite agree , I also agree with the lady who said that one of the important things is","mean_VVB there_EX0 are_VBB No_ITJ I_PNP quite_AV0 agree_VVB ,_PUN I_PNP also_AV0 agree_VVB with_PRP the_AT0 lady_NN1 who_PNQ said_VVD that_CJT-DT0 one_CRD of_PRF the_AT0 important_AJ0 things_NN2 is_VBZ",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=57,55280333,55280335,agree_with_AT0,4
375,agree_with,75,76,EC7,do agree the editor 's decision may not appear to agree with the opinions . It is hard to give an example without,do_VDB agree_VVI the_AT0 editor_NN1 's_POS decision_NN1 may_VM0 not_XX0 appear_VVI to_TO0 agree_VVI with_PRP the_AT0 opinions_NN2 ._PUN It_PNP is_VBZ hard_AJ0 to_TO0 give_VVI an_AT0 example_NN1 without_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=75,44836661,44836663,agree_with_AT0,4
383,agree_with,83,84,HXH,. Here are some examples where the subject does not agree with the verb ( i.e. these will therefore generally be classed as,._PUN Here_AV0 are_VBB some_DT0 examples_NN2 where_AVQ-CJS the_AT0 subject_NN1 does_VDZ not_XX0 agree_VVI with_PRP the_AT0 verb_NN1 (_PUL i.e._AV0 these_DT0 will_VM0 therefore_AV0 generally_AV0 be_VBI classed_VVN as_PRP,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9r&batch=83,90694555,90694557,agree_with_AT0,4
401,come_back,1,2,EWH,"get out and do n't come back . Do n't come back ever &hellip; "" The full force of her loss came in","get_VVB out_AVP and_CJC do_VDB n't_XX0 come_VVI back_AVP ._PUN Do_VDB n't_XX0 come_VVI back_AVP ever_AV0 &hellip;_PUN ""_PUQ The_AT0 full_AJ0 force_NN1 of_PRF her_DPS loss_NN1 came_VVD in_AVP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=1,50084341,50084343,come_back_AV0,4
422,come_back,22,23,GVP,and came straight across to her . &lsquo; Has Gebrec come back yet ? Have you seen Philippe ? &rsquo; she asked .,and_CJC came_VVD straight_AV0 across_AV0 to_PRP her_PNP ._PUN &lsquo;_PUQ Has_VHZ Gebrec_NP0 come_VVI back_AVP yet_AV0 ?_PUN Have_VHB you_PNP seen_VVN Philippe_NP0 ?_PUN &rsquo;_PUQ she_PNP asked_VVD ._PUN,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=22,67849581,67849583,come_back_AV0,4
440,come_back,40,41,KP6,"will . Well I 'll come back , shall I come back late ? No my brother has to be back by nine","will_VM0 ._PUN Well_AV0 I_PNP 'll_VM0 come_VVI back_AVP ,_PUN shall_VM0 I_PNP come_VVI back_AVP late_AV0 ?_PUN No_ITJ my_DPS brother_NN1 has_VHZ to_TO0 be_VBI back_AVP by_PRP nine_CRD",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=40,110590911,110590913,come_back_AV0,4
475,come_back,75,76,JJ7,"gon na come back tomorrow . I 'm gon na come back tomorrow . Excellent , Clare [unclear] bit of fun there [unclear]","gon_VVG na_TO0 come_VVI back_AVP tomorrow_AV0 ._PUN I_PNP 'm_VBB gon_VVG na_TO0 come_VVI back_AVP tomorrow_AV0 ._PUN Excellent_AJ0 ,_PUN Clare_NP0 [unclear]_UNC bit_NN1 of_PRF fun_NN1 there_AV0 [unclear]_UNC",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=75,95643475,95643477,come_back_AV0,4
498,come_back,98,99,EVC,"he went too . "" "" Why did n't you come back then ? "" Horatia pulled a face . "" Because something","he_PNP went_VVD too_AV0 ._PUN ""_PUQ ""_PUQ Why_AVQ did_VDD n't_XX0 you_PNP come_VVI back_AVP then_AV0 ?_PUN ""_PUQ Horatia_NP0-NN1 pulled_VVD a_AT0 face_NN1 ._PUN ""_PUQ Because_CJS something_PNI",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00h8ff&batch=98,49107568,49107570,come_back_AV0,4
501,come_in,1,2,KRT,"of stability . Will first time buyers be able to come in again now and actually get things moving , now that the","of_PRF stability_NN1 ._PUN Will_VM0 first_ORD time_NN1 buyers_NN2 be_VBI able_AJ0 to_TO0 come_VVI in_AVP-PRP again_AV0 now_AV0 and_CJC actually_AV0 get_VVB things_NN2 moving_VVG ,_PUN now_AV0 that_CJT the_AT0",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=1,111637640,111637642,come_in_AV0,4
533,come_in,33,34,GVY,other platform is empty but for Hancock . Two trains come in simultaneously and Hancock simply scampers through one and into the corner,other_AJ0 platform_NN1 is_VBZ empty_AJ0 but_CJC for_PRP Hancock_NP0 ._PUN Two_CRD trains_NN2 come_VVB in_AVP-PRP simultaneously_AV0 and_CJC Hancock_NP0 simply_AV0 scampers_VVZ through_PRP one_CRD and_CJC into_PRP the_AT0 corner_NN1,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=33,68141771,68141773,come_in_AV0,4
558,come_in,58,59,HBM,is this done ? Proposals for additions to the Catalogue come in steadily from National Certificate centres . These &lsquo; centre-devised &rsquo; modules,is_VBZ this_DT0 done_VDN ?_PUN Proposals_NN2 for_PRP additions_NN2 to_PRP the_AT0 Catalogue_NN1 come_VVB in_AVP-PRP steadily_AV0 from_PRP National_AJ0 Certificate_NN1 centres_NN2 ._PUN These_DT0 &lsquo;_PUQ centre-devised_AJ0 &rsquo;_PUQ modules_NN2,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=58,75060031,75060033,come_in_AV0,4
583,come_in,83,84,KDF,boy now . Whoops ! Yeah . Come on . Come in here . Come on ! In you go . Ee ee,boy_NN1 now_AV0 ._PUN Whoops_ITJ !_PUN Yeah_ITJ ._PUN Come_VVB on_AVP ._PUN Come_VVB in_PRP here_AV0 ._PUN Come_VVB on_AVP !_PUN In_AVP you_PNP go_VVB ._PUN Ee_ITJ ee_ITJ,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=83,108881639,108881641,come_in_AV0,4
589,come_in,89,90,HYX,"come , we 'll see that , if the cameras come in anywhere , we 'll see that all-party representation on it .","come_VVI ,_PUN we_PNP 'll_VM0 see_VVI that_DT0-CJT ,_PUN if_CJS the_AT0 cameras_NN2 come_VVB in_AVP-PRP anywhere_AV0 ,_PUN we_PNP 'll_VM0 see_VVI that_DT0-CJT all-party_AJ0 representation_NN1 on_PRP it_PNP ._PUN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00ha9z&batch=89,91729486,91729488,come_in_AV0,4
625,come_out,25,26,KR2,He hates you ! Cow ! Oi ! What ? Come out here . Watch . Relaxed . Those your new ones or,He_PNP hates_VVZ you_PNP !_PUN Cow_NN1 !_PUN Oi_ITJ !_PUN What_DTQ ?_PUN Come_VVB out_AVP here_AV0 ._PUN Watch_VVB-NN1 ._PUN Relaxed_AJ0 ._PUN Those_DT0 your_DPS new_AJ0 ones_NN2 or_CJC,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=25,111013718,111013720,come_out_AV0,4
658,come_out,58,59,K8R,"I 've warned you &mdash; get out from there . Come out here . &rsquo; She was wearing pale green dungarees , soaked","I_PNP 've_VHB warned_VVN you_PNP &mdash;_PUN get_VVB out_AVP from_PRP there_AV0 ._PUN Come_VVB out_AVP here_AV0 ._PUN &rsquo;_PUQ She_PNP was_VBD wearing_VVG pale_AJ0 green_AJ0-NN1 dungarees_NN2 ,_PUN soaked_AJ0-VVN",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=58,103983873,103983875,come_out_AV0,4
672,come_out,72,73,KBA,n't play here That 's it . can Come . Come out here . W we can play out here . Stop no,n't_XX0 play_VVI here_AV0 That_DT0 's_VBZ it_PNP ._PUN can_VM0 Come_VVB ._PUN Come_VVB out_AVP here_AV0 ._PUN W_UNC we_PNP can_VM0 play_VVI out_AVP here_AV0 ._PUN Stop_VVB no_AT0,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=72,106011375,106011377,come_out_AV0,4
682,come_out,82,83,KBH,"sweetheart , please . Come on . You do n't come out here with it normally do you ? You can walk round","sweetheart_NN1 ,_PUN please_AV0 ._PUN Come_VVB on_AVP ._PUN You_PNP do_VDB n't_XX0 come_VVI out_AVP here_AV0 with_PRP it_PNP normally_AV0 do_VDB you_PNP ?_PUN You_PNP can_VM0 walk_VVI round_PRP-AVP",https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=82,106491227,106491229,come_out_AV0,4
692,come_out,92,93,G25,on top . The ends on top . The ends come out parallel with the standing part ( Fig 5 ) . LARKS,on_PRP top_NN1-AJ0 ._PUN The_AT0 ends_NN2 on_PRP top_NN1-AJ0 ._PUN The_AT0 ends_NN2 come_VVB out_AVP parallel_AV0 with_PRP the_AT0 standing_NN1-AJ0 part_NN1 (_PUL Fig_NN1 5_CRD )_PUR ._PUN LARKS_NN2,https://cqpweb.lancs.ac.uk/bncxmlweb/context.php?qid=00haa2&batch=92,63283095,63283097,come_out_AV0,4
